Date,Item Description,Quantity,Amount
2024-10-31,Doohickey,13,811.94
2024-07-09,Gadget,45,918.26
2024-12-27,Thingamajig,82,907.86
2024-11-29,Contraption,64,346.56
2024-09-24,Doohickey,9,562.85
2024-08-14,Gadget,6,335.34
2024-01-11,Doohickey,13,47.0
2024-07-24,Widget,55,680.45
2024-01-24,Contraption,7,162.24
2024-06-18,Doohickey,74,395.22
2024-12-04,Contraption,62,432.63
2024-12-11,Gadget,44,551.48
2024-06-29,Widget,64,462.43
2024-09-30,Thingamajig,43,422.52
2024-06-03,Contraption,12,35.55
2024-03-27,Thingamajig,6,528.57
2024-04-20,Gadget,44,782.49
2024-07-03,Contraption,48,691.25
2024-07-26,Gadget,38,558.68
2024-08-12,Doohickey,56,508.55
2024-02-04,Contraption,73,398.28
2024-01-30,Contraption,42,866.87
2024-12-11,Contraption,58,221.6
2024-04-24,Gadget,98,703.2
2024-02-08,Widget,63,482.68
2024-05-11,Gadget,73,823.68
2024-05-23,Doohickey,36,502.35
2024-01-25,Thingamajig,14,862.71
2024-01-18,Contraption,31,552.23
2024-02-25,Contraption,4,296.91
2024-06-28,Doohickey,84,311.36
2024-10-26,Doohickey,88,90.49
2024-09-09,Gadget,73,232.86
2024-10-05,Widget,9,78.83
2024-05-29,Doohickey,46,26.3
2024-02-01,Thingamajig,34,457.87
2024-07-15,Widget,87,240.52
2024-07-03,Doohickey,12,460.53
2024-10-17,Thingamajig,65,131.88
2024-08-29,Doohickey,13,596.08
2024-02-06,Widget,36,560.14
2024-09-27,Contraption,46,755.81
2024-03-12,Contraption,11,545.24
2024-09-07,Doohickey,20,485.04
2024-01-18,Contraption,59,401.79
2024-02-17,Contraption,8,536.88
2024-12-10,Gadget,65,846.82
2024-02-07,Doohickey,8,188.75
2024-09-24,Gadget,67,837.95
2024-02-09,Contraption,21,806.81
2024-05-19,Contraption,44,144.09
2024-04-10,Contraption,13,729.28
2024-10-19,Contraption,81,388.67
2024-01-13,Gadget,67,60.72
2024-10-05,Thingamajig,93,69.93
2024-05-10,Gadget,64,157.93
2024-05-21,Gadget,11,543.44
2024-02-26,Gadget,25,994.09
2024-02-27,Thingamajig,22,899.06
2024-01-09,Gadget,12,714.8
2024-08-13,Widget,18,513.6
2024-06-21,Gadget,25,495.51
2024-09-02,Thingamajig,61,61.58
2024-11-28,Contraption,24,646.36
2024-12-02,Gadget,2,315.58
2024-05-23,Gadget,73,88.91
2024-08-25,Thingamajig,92,782.62
2024-11-30,Widget,53,565.64
2024-08-21,Doohickey,82,463.75
2024-06-04,Gadget,94,960.65
2024-04-05,Widget,73,879.69
2024-05-15,Gadget,53,342.16
2024-05-22,Thingamajig,64,720.87
2024-11-06,Contraption,1,548.09
2024-02-28,Contraption,14,722.4
2024-10-17,Widget,68,368.36
2024-08-09,Widget,14,493.74
2024-10-09,Gadget,1,687.23
2024-07-09,Contraption,12,90.74
2024-10-02,Gadget,93,179.05
2024-07-08,Widget,13,113.8
2024-05-06,Widget,50,435.29
2024-10-05,Widget,89,791.16
2024-06-12,Thingamajig,32,309.16
2024-08-30,Contraption,81,115.27
2024-10-10,Contraption,63,945.3
2024-01-15,Contraption,65,587.83
2024-12-30,Thingamajig,49,759.23
2024-08-11,Widget,44,864.72
2024-12-19,Thingamajig,74,266.6
2024-04-20,Doohickey,23,962.75
2024-01-13,Thingamajig,48,810.62
2024-08-30,Thingamajig,78,172.56
2024-11-16,Contraption,16,882.38
2024-01-02,Gadget,52,989.46
2024-08-20,Thingamajig,15,152.11
2024-07-01,Widget,52,810.96
2024-12-18,Contraption,28,842.44
2024-01-16,Doohickey,55,439.94
2024-12-01,Widget,88,403.58
2024-02-03,Widget,75,940.52
2024-11-15,Doohickey,85,81.34
2024-02-03,Widget,24,250.63
2024-03-21,Widget,3,10.33
2024-01-16,Widget,99,60.34
2024-12-10,Contraption,54,822.51
2024-03-09,Gadget,8,256.26
2024-01-15,Gadget,58,102.15
2024-06-27,Contraption,38,926.24
2024-07-20,Thingamajig,7,981.87
2024-08-26,Widget,98,81.16
2024-05-16,Doohickey,54,666.88
2024-07-03,Gadget,42,265.38
2024-10-01,Gadget,74,866.4
2024-03-16,Thingamajig,54,764.34
2024-06-21,Gadget,53,673.39
2024-03-31,Thingamajig,16,782.53
2024-03-17,Doohickey,32,267.23
2024-04-14,Thingamajig,32,974.1
2024-12-04,Widget,58,950.95
2024-05-28,Widget,17,592.82
2024-08-04,Doohickey,65,754.1
2024-07-05,Gadget,85,829.06
2024-07-03,Gadget,79,941.08
2024-12-27,Thingamajig,96,990.4
2024-01-23,Widget,78,717.45
2024-01-19,Thingamajig,58,862.36
2024-12-03,Gadget,7,765.16
2024-09-27,Doohickey,45,113.73
2024-04-02,Gadget,34,592.45
2024-11-13,Thingamajig,65,51.37
2024-11-17,Widget,38,10.99
2024-10-28,Doohickey,44,317.73
2024-05-07,Doohickey,94,824.57
2024-12-21,Widget,85,84.47
2024-12-29,Widget,30,522.86
2024-06-16,Thingamajig,67,961.62
2024-02-20,Gadget,94,366.02
2024-03-19,Widget,81,272.75
2024-09-19,Doohickey,62,350.24
2024-07-30,Contraption,3,977.81
2024-07-21,Thingamajig,74,630.53
2024-08-23,Gadget,50,377.76
2024-12-06,Thingamajig,25,192.16
2024-09-07,Doohickey,11,758.73
2024-11-27,Thingamajig,35,637.82
2024-11-19,Widget,85,379.63
2024-11-24,Doohickey,28,29.9
2024-01-17,Thingamajig,75,884.13
2024-12-10,Widget,37,282.94
2024-04-04,Contraption,68,277.08
2024-06-29,Doohickey,86,533.15
2024-10-30,Thingamajig,84,601.78
2024-09-08,Widget,38,299.92
2024-06-21,Thingamajig,9,190.28
2024-06-28,Thingamajig,65,929.6
2024-01-16,Widget,77,556.64
2024-01-22,Gadget,76,840.81
2024-11-01,Widget,66,101.82
2024-01-20,Gadget,29,304.85
2024-01-15,Contraption,97,176.65
2024-12-14,Contraption,59,384.16
2024-08-08,Gadget,54,591.93
2024-03-05,Contraption,15,81.45
2024-11-04,Thingamajig,80,213.9
2024-10-30,Contraption,52,239.24
2024-11-21,Contraption,100,443.63
2024-06-14,Gadget,26,264.75
2024-07-12,Gadget,80,30.37
2024-02-18,Widget,32,498.65
2024-10-09,Contraption,49,795.96
2024-05-13,Contraption,82,179.59
2024-12-16,Thingamajig,88,751.43
2024-03-21,Widget,38,365.03
2024-01-31,Gadget,69,780.5
2024-06-27,Widget,40,51.75
2024-08-26,Thingamajig,15,916.46
2024-02-10,Gadget,43,224.57
2024-12-16,Gadget,4,983.76
2024-01-08,Contraption,97,844.72
2024-03-14,Gadget,89,376.88
2024-03-25,Gadget,93,832.04
2024-09-25,Widget,75,127.29
2024-11-16,Doohickey,38,868.56
2024-07-18,Thingamajig,35,237.57
2024-04-01,Thingamajig,9,908.19
2024-08-05,Doohickey,37,753.66
2024-11-12,Thingamajig,22,763.43
2024-11-06,Thingamajig,85,161.39
2024-04-12,Contraption,15,213.05
2024-07-27,Doohickey,17,507.16
2024-10-03,Gadget,49,148.71
2024-05-17,Contraption,96,376.08
2024-04-14,Doohickey,14,297.1
2024-12-23,Gadget,52,230.68
2024-09-03,Widget,9,472.34
2024-06-03,Gadget,87,209.96
2024-02-12,Contraption,8,170.99
2024-08-25,Thingamajig,57,440.64
2024-07-10,Widget,66,166.74
2024-10-08,Widget,71,866.98
2024-08-22,Contraption,59,352.58
2024-06-12,Gadget,69,755.44
2024-08-17,Gadget,34,646.22
2024-06-27,Doohickey,25,912.81
2024-06-07,Gadget,24,813.63
2024-11-01,Widget,57,899.9
2024-09-10,Gadget,55,154.97
2024-06-28,Widget,55,629.51
2024-04-24,Thingamajig,67,156.5
2024-05-23,Contraption,16,449.58
2024-11-01,Contraption,65,132.21
2024-11-26,Contraption,27,819.0
2024-09-16,Doohickey,64,728.15
2024-05-26,Widget,75,786.07
2024-10-15,Contraption,99,342.53
2024-08-28,Gadget,58,668.49
2024-09-06,Widget,62,670.79
2024-05-31,Gadget,33,543.13
2024-05-07,Thingamajig,85,764.24
2024-12-21,Widget,1,666.14
2024-02-21,Contraption,11,873.59
2024-12-10,Thingamajig,34,376.38
2024-03-04,Doohickey,50,637.65
2024-07-31,Thingamajig,59,887.13
2024-10-31,Gadget,95,161.05
2024-02-04,Thingamajig,79,136.55
2024-07-30,Doohickey,79,200.19
2024-10-20,Gadget,44,838.96
2024-07-10,Widget,11,981.95
2024-04-17,Contraption,12,588.02
2024-08-28,Gadget,25,865.61
2024-07-14,Gadget,89,590.89
2024-08-17,Thingamajig,99,375.89
2024-06-19,Gadget,4,935.51
2024-07-15,Widget,42,363.01
2024-12-26,Widget,87,490.7
2024-11-05,Thingamajig,80,698.05
2024-08-04,Doohickey,36,330.16
2024-01-04,Gadget,6,178.77
2024-08-26,Gadget,81,754.2
2024-11-05,Thingamajig,68,428.42
2024-01-05,Widget,98,103.9
2024-12-23,Contraption,95,255.44
2024-11-26,Contraption,81,692.86
2024-03-07,Contraption,53,397.98
2024-06-15,Thingamajig,12,949.93
2024-06-27,Contraption,36,580.06
2024-12-10,Gadget,88,843.0
2024-10-24,Thingamajig,74,334.57
2024-05-06,Gadget,39,756.78
2024-09-19,Gadget,5,814.55
2024-12-25,Widget,56,644.48
2024-12-27,Gadget,17,693.36
2024-05-02,Doohickey,56,750.84
2024-03-20,Doohickey,71,132.72
2024-09-23,Contraption,72,491.56
2024-03-22,Thingamajig,40,77.81
2024-06-21,Doohickey,56,885.89
2024-09-18,Contraption,8,951.78
2024-10-24,Widget,41,889.18
2024-12-21,Gadget,32,822.75
2024-05-06,Gadget,14,230.01
2024-12-16,Thingamajig,45,723.15
2024-07-15,Contraption,10,422.83
2024-05-03,Doohickey,6,647.16
2024-07-30,Widget,37,874.37
2024-10-10,Contraption,64,232.04
2024-01-12,Contraption,40,367.91
2024-12-04,Doohickey,12,718.39
2024-07-14,Thingamajig,34,512.3
2024-10-09,Gadget,78,255.53
2024-07-22,Gadget,8,464.85
2024-12-13,Thingamajig,54,570.39
2024-02-18,Thingamajig,37,478.8
2024-01-26,Thingamajig,10,839.64
2024-09-26,Contraption,37,384.32
2024-08-31,Contraption,47,454.94
2024-09-05,Widget,31,796.94
2024-07-10,Contraption,44,198.49
2024-12-26,Thingamajig,52,662.23
2024-01-07,Doohickey,32,999.72
2024-11-11,Widget,16,765.19
2024-06-26,Gadget,39,906.84
2024-06-29,Doohickey,71,36.52
2024-03-09,Doohickey,48,818.41
2024-01-01,Thingamajig,8,516.57
2024-07-23,Gadget,54,705.63
2024-01-27,Doohickey,11,316.83
2024-06-11,Gadget,52,387.13
2024-11-14,Contraption,24,853.88
2024-10-12,Thingamajig,6,838.99
2024-04-25,Contraption,74,941.37
2024-02-19,Gadget,66,345.24
2024-07-17,Thingamajig,73,948.28
2024-03-16,Contraption,30,806.82
2024-10-29,Thingamajig,17,993.97
2024-12-21,Widget,92,725.2
2024-11-13,Doohickey,12,833.77
2024-11-27,Widget,83,759.75
2024-07-12,Thingamajig,29,804.63
2024-09-16,Thingamajig,32,201.51
2024-09-25,Thingamajig,48,913.14
2024-12-15,Gadget,56,916.51
2024-06-05,Gadget,64,544.23
2024-05-05,Thingamajig,84,596.89
2024-08-19,Gadget,23,555.06
2024-07-19,Thingamajig,27,334.76
2024-10-10,Thingamajig,98,525.95
2024-01-08,Widget,81,187.51
2024-01-22,Widget,85,277.76
2024-12-06,Doohickey,26,886.33
2024-12-19,Thingamajig,24,253.34
2024-08-28,Gadget,32,545.79
2024-03-01,Gadget,19,550.39
2024-04-24,Contraption,2,893.22
2024-06-10,Thingamajig,35,944.24
2024-06-14,Thingamajig,96,222.65
2024-12-29,Contraption,53,450.3
2024-04-13,Thingamajig,48,397.01
2024-06-08,Thingamajig,21,275.8
2024-04-27,Widget,99,930.55
2024-02-23,Doohickey,100,344.52
2024-03-15,Gadget,71,92.79
2024-04-19,Gadget,49,777.97
2024-07-06,Gadget,13,420.22
2024-03-26,Widget,14,494.09
2024-07-21,Widget,26,984.25
2024-09-06,Widget,18,563.13
2024-10-09,Thingamajig,71,717.75
2024-06-15,Widget,9,594.12
2024-08-18,Doohickey,69,608.2
2024-06-07,Doohickey,41,338.59
2024-08-16,Widget,91,895.02
2024-05-23,Doohickey,73,679.63
2024-03-23,Doohickey,62,100.45
2024-12-13,Gadget,48,599.42
2024-03-29,Gadget,22,755.96
2024-05-06,Thingamajig,66,351.02
2024-02-27,Gadget,15,388.92
2024-02-24,Thingamajig,86,213.74
2024-03-10,Doohickey,50,127.48
2024-06-05,Thingamajig,76,454.16
2024-08-02,Doohickey,18,705.41
2024-04-14,Contraption,10,462.15
2024-03-02,Contraption,99,339.6
2024-09-12,Contraption,69,751.8
2024-05-04,Doohickey,93,24.48
2024-06-12,Doohickey,30,297.31
2024-10-18,Gadget,67,760.98
2024-11-10,Gadget,12,810.0
2024-02-04,Gadget,67,253.81
2024-08-01,Gadget,8,228.45
2024-10-07,Doohickey,85,506.97
2024-04-14,Doohickey,21,417.81
2024-11-25,Thingamajig,55,342.01
2024-04-30,Contraption,2,126.71
2024-06-07,Doohickey,71,641.93
2024-10-04,Thingamajig,56,521.83
2024-10-10,Gadget,55,332.93
2024-04-13,Thingamajig,77,961.93
2024-08-07,Gadget,21,510.65
2024-11-24,Gadget,9,217.81
2024-10-06,Thingamajig,21,947.64
2024-02-12,Widget,8,247.34
2024-11-30,Widget,55,835.66
2024-06-04,Doohickey,2,293.44
2024-09-04,Thingamajig,17,360.84
2024-04-09,Widget,14,777.19
2024-04-29,Gadget,56,441.06
2024-12-29,Thingamajig,55,684.95
2024-12-11,Gadget,77,854.28
2024-05-28,Thingamajig,14,278.75
2024-01-05,Doohickey,32,266.87
2024-12-04,Thingamajig,93,310.83
2024-10-26,Gadget,70,55.76
2024-11-21,Gadget,97,916.04
2024-11-26,Widget,36,600.74
2024-01-09,Gadget,22,921.8
2024-02-21,Gadget,19,468.13
2024-09-14,Doohickey,100,772.53
2024-05-05,Thingamajig,3,760.3
2024-04-20,Contraption,91,951.09
2024-10-01,Widget,13,714.47
2024-09-15,Widget,100,471.81
2024-03-19,Doohickey,87,558.74
2024-02-07,Doohickey,91,377.96
2024-09-18,Widget,82,238.05
2024-03-04,Widget,72,980.06
2024-01-16,Widget,43,370.49
2024-09-26,Thingamajig,49,40.71
2024-09-09,Thingamajig,55,265.03
2024-11-07,Thingamajig,64,738.69
2024-08-14,Contraption,23,46.15
2024-05-07,Gadget,21,116.84
2024-07-21,Thingamajig,68,829.5
2024-08-04,Gadget,96,701.46
2024-05-27,Thingamajig,22,398.32
2024-07-25,Widget,67,314.01
2024-01-18,Gadget,40,299.61
2024-06-23,Thingamajig,63,94.34
2024-05-09,Gadget,65,857.24
2024-08-07,Gadget,38,404.53
2024-07-24,Widget,93,548.52
2024-03-25,Gadget,35,202.95
2024-04-15,Contraption,88,277.81
2024-05-16,Widget,15,896.88
2024-02-27,Widget,84,754.24
2024-12-05,Widget,8,608.11
2024-10-01,Thingamajig,70,788.92
2024-08-31,Contraption,23,347.14
2024-12-17,Contraption,71,178.79
2024-07-11,Contraption,90,161.89
2024-01-27,Doohickey,4,998.85
2024-03-25,Thingamajig,71,97.31
2024-11-02,Widget,2,112.78
2024-07-22,Gadget,28,901.56
2024-03-29,Contraption,38,653.74
2024-12-24,Contraption,87,222.0
2024-07-11,Gadget,61,888.3
2024-04-13,Doohickey,45,414.34
2024-09-10,Widget,88,88.92
2024-11-28,Widget,67,205.77
2024-08-17,Contraption,97,744.24
2024-08-27,Doohickey,7,628.5
2024-03-16,Gadget,48,235.41
2024-12-23,Contraption,93,712.13
2024-03-11,Gadget,12,561.74
2024-11-20,Thingamajig,25,302.17
2024-11-09,Contraption,91,260.28
2024-08-06,Thingamajig,91,842.73
2024-05-24,Contraption,27,743.97
2024-06-05,Thingamajig,54,846.87
2024-10-01,Contraption,6,19.98
2024-04-13,Thingamajig,73,577.34
2024-01-01,Widget,8,934.75
2024-04-06,Thingamajig,13,578.32
2024-05-08,Gadget,70,771.46
2024-09-15,Doohickey,44,373.79
2024-11-07,Widget,79,732.35
2024-03-14,Contraption,79,217.56
2024-06-15,Widget,15,669.31
2024-08-30,Doohickey,60,345.18
2024-04-09,Gadget,64,314.3
2024-04-05,Doohickey,60,563.14
2024-11-02,Doohickey,5,422.95
2024-05-05,Doohickey,62,385.29
2024-03-27,Thingamajig,35,195.97
2024-09-22,Contraption,54,144.44
2024-02-01,Widget,20,781.39
2024-06-13,Doohickey,41,578.04
2024-03-08,Contraption,96,575.73
2024-07-20,Doohickey,60,611.75
2024-11-05,Thingamajig,93,571.47
2024-12-11,Contraption,42,270.69
2024-05-02,Thingamajig,16,584.74
2024-03-01,Thingamajig,20,811.01
2024-11-02,Doohickey,87,512.28
2024-03-02,Thingamajig,76,304.77
2024-10-29,Thingamajig,60,573.09
2024-03-28,Thingamajig,90,478.81
2024-07-19,Gadget,38,111.27
